 25/11/2015 13:09:56 | temperature: 23 °C
 25/11/2015 13:09:56 | temperature: 6 °C
 25/11/2015 13:09:57 | temperature: 17 °C
 25/11/2015 13:09:57 | temperature: 35 °C
 25/11/2015 13:09:58 | temperature: 33 °C
 25/11/2015 13:09:58 | temperature: 15 °C
 25/11/2015 13:09:59 | temperature: 26 °C
 25/11/2015 13:09:59 | temperature: 12 °C
 25/11/2015 13:10:00 | temperature: 9 °C
 25/11/2015 13:10:00 | temperature: 21 °C
 25/11/2015 13:10:01 | temperature: 2 °C
 25/11/2015 13:10:01 | temperature: 27 °C
 25/11/2015 13:10:02 | temperature: 10 °C
 25/11/2015 13:10:02 | temperature: 19 °C
 25/11/2015 13:10:03 | temperature: 3 °C
 25/11/2015 13:10:03 | temperature: 6 °C
 25/11/2015 13:10:04 | temperature: 20 °C
 25/11/2015 13:10:04 | temperature: 26 °C
 25/11/2015 13:10:05 | temperature: 12 °C
 25/11/2015 13:10:05 | temperature: 16 °C
 25/11/2015 13:10:06 | temperature: 11 °C
 25/11/2015 13:10:06 | temperature: 8 °C
 25/11/2015 13:10:07 | temperature: 7 °C
 25/11/2015 13:10:07 | temperature: 29 °C
 25/11/2015 13:10:08 | temperature: 22 °C
 25/11/2015 13:10:08 | temperature: 10 °C
 25/11/2015 13:10:09 | temperature: 22 °C
 25/11/2015 13:10:09 | temperature: 3 °C
 25/11/2015 13:10:10 | temperature: 27 °C
 25/11/2015 13:10:10 | temperature: 15 °C
 25/11/2015 13:10:11 | temperature: 9 °C
 25/11/2015 13:10:11 | temperature: 2 °C
 25/11/2015 13:10:12 | temperature: 22 °C
 25/11/2015 13:10:12 | temperature: 18 °C
 25/11/2015 13:10:13 | temperature: 29 °C
 25/11/2015 13:10:13 | temperature: 7 °C
 25/11/2015 13:10:14 | temperature: 33 °C
 25/11/2015 13:10:14 | temperature: 16 °C
 25/11/2015 13:10:15 | temperature: 11 °C
 25/11/2015 13:10:15 | temperature: 2 °C
 25/11/2015 13:10:16 | temperature: 29 °C
 25/11/2015 13:10:16 | temperature: 13 °C
 25/11/2015 13:10:17 | temperature: 21 °C
 25/11/2015 13:10:17 | temperature: 39 °C
 25/11/2015 13:10:18 | temperature: 24 °C
 25/11/2015 13:10:18 | temperature: 17 °C
 25/11/2015 13:10:19 | temperature: 38 °C
 25/11/2015 13:10:19 | temperature: 4 °C
 25/11/2015 13:10:20 | temperature: 35 °C
 25/11/2015 13:10:20 | temperature: 10 °C
 25/11/2015 13:10:21 | temperature: 13 °C
 25/11/2015 13:10:21 | temperature: 6 °C
 25/11/2015 13:10:22 | temperature: 11 °C
 25/11/2015 13:10:22 | temperature: 20 °C
 25/11/2015 13:10:23 | temperature: 36 °C
 25/11/2015 13:10:23 | temperature: 33 °C
 25/11/2015 13:10:24 | temperature: 22 °C
 25/11/2015 13:10:24 | temperature: 10 °C
 25/11/2015 13:10:25 | temperature: 36 °C
 25/11/2015 13:10:25 | temperature: 1 °C
 25/11/2015 13:10:26 | temperature: 25 °C
 25/11/2015 13:10:26 | temperature: 5 °C
 25/11/2015 13:10:27 | temperature: 4 °C
 25/11/2015 13:10:27 | temperature: 7 °C
